,EN,DATA,ERR-S
166,517240.0,3.0407,0.074942
167,517340.0,2.9762,0.074846
168,517450.0,3.2877,0.075178
169,517560.0,3.124,0.075563
170,517660.0,3.1317,0.075801
171,517770.0,3.064,0.07509
172,517880.0,2.9802,0.076202
173,517980.0,3.2137,0.074678
174,518090.0,2.9048,0.073904
175,518200.0,2.9767,0.073524
176,518300.0,2.8916,0.073676
177,518410.0,2.9925,0.072933
178,518520.0,2.7751,0.072467
179,518620.0,2.9879,0.0727
180,518730.0,2.9215,0.073859
181,518830.0,2.8117,0.074352
182,518940.0,2.8806,0.074294
183,519050.0,2.7936,0.073875
184,519160.0,2.5184,0.074355
185,519260.0,2.8749,0.073657
186,519370.0,2.8696,0.074838
187,519480.0,2.7327,0.073886
188,519580.0,2.7695,0.074396
189,519690.0,2.7348,0.07365
190,519800.0,2.8683,0.073344
191,519900.0,2.8682,0.072757
192,520010.0,2.6932,0.073863
193,520120.0,2.6832,0.074449
194,520230.0,2.5879,0.074493
195,520330.0,2.6633,0.074413
196,520440.0,2.9345,0.074124
197,520550.0,2.6685,0.073096
198,520650.0,2.7083,0.073836
199,520760.0,2.6806,0.073382
200,520870.0,2.8305,0.072965
201,520980.0,2.7005,0.07312
202,521080.0,2.7696,0.073376
203,521190.0,2.6947,0.071922
204,521300.0,2.9018,0.073657
205,521410.0,2.6191,0.072906
206,521510.0,2.6266,0.072587
207,521620.0,2.6265,0.072039
208,521730.0,2.8357,0.072691
209,521840.0,2.6055,0.071673
210,521940.0,2.7274,0.073262
211,522050.0,2.6143,0.074035
212,522160.0,2.594,0.074439
213,522270.0,2.6305,0.075562
214,522370.0,2.74,0.075414
215,522480.0,2.8528,0.07458
216,522590.0,2.6661,0.073948
217,522700.0,2.651,0.072738
218,522810.0,2.6538,0.073264
219,522910.0,2.8422,0.073322
220,523020.0,2.7279,0.075022
221,523130.0,2.6052,0.075301
222,523240.0,2.464,0.074995
223,523350.0,2.5362,0.074454
224,523450.0,2.6295,0.073542
225,523560.0,2.8518,0.072653
226,523670.0,2.6173,0.07315
227,523780.0,2.6466,0.075112
228,523890.0,2.592,0.075582
229,523990.0,2.7867,0.076133
230,524100.0,2.6383,0.075445
231,524210.0,2.4171,0.073207
232,524320.0,2.5201,0.072079
233,524430.0,2.7107,0.073308
234,524540.0,2.4494,0.073902
235,524650.0,2.5361,0.072916
236,524750.0,2.5543,0.074412
237,524860.0,2.4747,0.073535
238,524970.0,2.4955,0.073756
239,525080.0,2.5685,0.074197
240,525190.0,2.354,0.074802
241,525300.0,2.4884,0.075073
242,525410.0,2.4369,0.0754
243,525510.0,2.5075,0.074174
244,525620.0,2.5125,0.073581
245,525730.0,2.5748,0.072772
246,525840.0,2.5275,0.0735
247,525950.0,2.4472,0.072641
248,526060.0,2.7109,0.073007
249,526170.0,2.3529,0.073423
250,526280.0,2.4937,0.076081
251,526390.0,2.7299,0.074964
252,526490.0,2.6038,0.073845
253,526600.0,2.5805,0.071743
254,526710.0,2.5994,0.071562
255,526820.0,2.5671,0.071879
256,526930.0,3.1046,0.075083
257,527040.0,3.9007,0.078503
258,527150.0,5.7734,0.083774
259,527260.0,7.4363,0.088799
260,527370.0,6.2632,0.084811
261,527480.0,3.9852,0.077881
262,527590.0,3.0589,0.075414
263,527700.0,2.9254,0.074935
264,527810.0,2.6076,0.07357
265,527920.0,2.5143,0.073969
266,528030.0,2.4863,0.075351
267,528130.0,2.52,0.07472
268,528240.0,2.6092,0.075604
269,528350.0,2.4718,0.07429
270,528460.0,2.4807,0.073065
271,528570.0,2.3496,0.072862
272,528680.0,2.4603,0.073578
273,528790.0,2.3396,0.072766
274,528900.0,2.5267,0.07319
275,529010.0,2.2584,0.072124
276,529120.0,2.3091,0.072921
277,529230.0,2.043,0.073178
278,529340.0,2.125,0.07428
279,529450.0,2.2893,0.072992
280,529560.0,2.3308,0.073228
281,529670.0,2.353,0.072458
282,529780.0,2.2982,0.073053
283,529890.0,2.2783,0.07193
284,530000.0,2.2744,0.072364
285,530110.0,2.1616,0.072597
286,530220.0,2.3658,0.073545
287,530330.0,2.404,0.073941
288,530440.0,2.3909,0.074019
289,530550.0,2.4801,0.072734
290,530660.0,2.5117,0.07191
291,530770.0,2.3316,0.071068
292,530880.0,2.3458,0.071011
293,531000.0,2.0546,0.070625
294,531110.0,2.6756,0.072041
295,531220.0,2.3124,0.071878
296,531330.0,2.7957,0.072532
297,531440.0,3.0657,0.073642
298,531550.0,4.341,0.076055
299,531660.0,6.4076,0.079587
300,531770.0,6.9413,0.084433
301,531880.0,4.7767,0.080096
302,531990.0,3.0528,0.075411
303,532100.0,2.5395,0.072667
304,532210.0,2.2737,0.071157
305,532320.0,2.0947,0.070491
306,532430.0,2.2182,0.071931
307,532550.0,2.1876,0.071795
308,532660.0,2.2635,0.070986
309,532770.0,2.2811,0.069852
310,532880.0,2.0326,0.069271
311,532990.0,2.0983,0.069974
312,533100.0,2.37,0.071874
313,533210.0,2.8029,0.073336
314,533320.0,3.7489,0.077245
315,533430.0,4.7068,0.078408
316,533550.0,4.3528,0.078295
317,533660.0,3.0248,0.074612
318,533770.0,2.2502,0.073006
319,533880.0,2.322,0.072693
320,533990.0,2.0558,0.071352
321,534100.0,2.0568,0.070104
322,534210.0,1.9774,0.069577
323,534330.0,1.8802,0.070205
324,534440.0,1.8131,0.070125
325,534550.0,1.9031,0.070334
326,534660.0,2.0685,0.070533
327,534770.0,1.7283,0.070353
328,534880.0,1.7894,0.070466
329,535000.0,1.7009,0.070426
330,535110.0,1.4068,0.070073
331,535220.0,1.4148,0.068474
332,535330.0,0.97975,0.069049
333,535440.0,1.0004,0.067946
334,535550.0,0.88675,0.067638
335,535670.0,1.3205,0.06903
336,535780.0,2.6149,0.07333
337,535890.0,4.0061,0.076483
338,536000.0,4.503,0.077804
339,536110.0,3.9835,0.077081
340,536230.0,3.7175,0.077176
341,536340.0,3.2071,0.075688
342,536450.0,3.3747,0.075259
343,536560.0,3.0729,0.072057
344,536680.0,2.9904,0.071236
345,536790.0,2.6448,0.070828
346,536900.0,2.7558,0.07268
347,537010.0,2.6057,0.07157
348,537120.0,2.4909,0.071761
349,537240.0,2.6156,0.071147
350,537350.0,2.4162,0.070289
351,537460.0,2.5598,0.069588
352,537570.0,2.4878,0.069815
353,537690.0,2.4634,0.07041
354,537800.0,2.7523,0.073
355,537910.0,2.7764,0.075632
356,538020.0,3.1127,0.075262
357,538140.0,3.7929,0.075014
358,538250.0,4.8168,0.077344
359,538360.0,6.1759,0.08077
360,538480.0,8.3565,0.08782
361,538590.0,9.9904,0.094254
362,538700.0,9.9722,0.092511
363,538810.0,8.5115,0.085437
364,538930.0,6.9825,0.082208
365,539040.0,5.4291,0.07874
366,539150.0,4.5616,0.077039
367,539270.0,4.2133,0.076753
368,539380.0,3.7343,0.076972
369,539490.0,3.3574,0.075308
370,539610.0,3.4005,0.073757
371,539720.0,3.0132,0.071414
372,539830.0,3.1234,0.071177
373,539950.0,2.8415,0.071443
374,540060.0,2.998,0.072485
375,540170.0,2.9293,0.072199
376,540290.0,2.5687,0.072874
377,540400.0,2.8223,0.07267
378,540510.0,2.6476,0.072966
379,540630.0,2.6011,0.072314
380,540740.0,2.6582,0.072611
381,540850.0,2.6583,0.072822
382,540970.0,2.4727,0.072311
383,541080.0,2.5678,0.071254
384,541190.0,2.4143,0.07158
385,541310.0,2.458,0.071346
386,541420.0,2.3968,0.070841
387,541530.0,2.3008,0.070919
388,541650.0,2.3997,0.070382
389,541760.0,2.2571,0.070587
390,541880.0,2.0796,0.071384
391,541990.0,2.3086,0.071395
392,542100.0,2.2486,0.070975
393,542220.0,2.3043,0.070819
394,542330.0,2.3241,0.070726
395,542450.0,2.1077,0.070787
396,542560.0,2.1805,0.072449
397,542670.0,2.0657,0.070337
398,542790.0,1.9921,0.069023
399,542900.0,2.0823,0.068171
400,543020.0,2.2572,0.068426
401,543130.0,2.3607,0.068699
402,543250.0,2.111,0.069699
403,543360.0,2.1794,0.070228
404,543470.0,2.1927,0.070319
405,543590.0,2.0675,0.068681
406,543700.0,2.252,0.069213
407,543820.0,2.0943,0.068409
408,543930.0,2.4854,0.069155
409,544050.0,3.0505,0.070601
410,544160.0,4.2157,0.075058
411,544280.0,5.2857,0.076594
412,544390.0,5.4688,0.077094
413,544510.0,4.0319,0.074102
414,544620.0,3.0579,0.072113
415,544740.0,2.8802,0.071964
416,544850.0,2.5899,0.072311
417,544960.0,2.8518,0.07236
418,545080.0,3.5642,0.072829
419,545190.0,4.7048,0.075351
420,545310.0,6.7539,0.08009
421,545420.0,10.191,0.088877
422,545540.0,12.276,0.096163
423,545650.0,11.636,0.094621
424,545770.0,8.9331,0.0862
425,545890.0,7.1336,0.080625
426,546000.0,5.5907,0.077735
427,546120.0,4.9435,0.075569
428,546230.0,4.3284,0.075821
429,546350.0,3.8489,0.074655
430,546460.0,3.6408,0.074916
431,546580.0,3.354,0.074012
432,546690.0,3.5831,0.073254
433,546810.0,3.3003,0.071767
434,546920.0,3.3696,0.07204
435,547040.0,3.3271,0.070209
436,547150.0,2.6466,0.069307
437,547270.0,2.8801,0.069973
438,547380.0,2.5294,0.070889
439,547500.0,2.7295,0.071043
440,547620.0,2.5546,0.070976
441,547730.0,2.6204,0.069534
442,547850.0,2.5577,0.070424
443,547960.0,2.452,0.069005
444,548080.0,2.5299,0.06991
445,548190.0,2.4177,0.069782
446,548310.0,2.4711,0.069989
447,548430.0,2.2521,0.068708
448,548540.0,2.4069,0.068586
449,548660.0,2.2016,0.068123
450,548770.0,2.247,0.068592
451,548890.0,2.1564,0.068942
452,549010.0,2.4475,0.068563
453,549120.0,2.1812,0.068038
454,549240.0,2.3407,0.068504
455,549360.0,2.2636,0.068885
456,549470.0,2.093,0.069783
457,549590.0,2.2681,0.071244
458,549700.0,2.1732,0.070756
459,549820.0,2.2508,0.069756
460,549940.0,2.0054,0.07055
461,550050.0,1.9274,0.070161
462,550170.0,2.0823,0.070662
463,550290.0,2.0898,0.070025
464,550400.0,2.2603,0.070038
465,550520.0,2.2575,0.069407
466,550640.0,2.2824,0.069229
467,550750.0,2.0587,0.068531
468,550870.0,2.1672,0.069044
469,550990.0,2.1897,0.068108
470,551100.0,2.1061,0.068664
471,551220.0,1.9871,0.06865
472,551340.0,2.1317,0.069154
473,551460.0,2.1425,0.06856
474,551570.0,1.9432,0.069104
475,551690.0,2.3396,0.067987
476,551810.0,2.1555,0.068757
477,551920.0,2.4032,0.069992
478,552040.0,2.564,0.070957
479,552160.0,3.245,0.071751
480,552270.0,4.3769,0.074578
481,552390.0,4.9738,0.076072
482,552510.0,3.7299,0.072934
483,552630.0,2.2733,0.070722
484,552740.0,1.8907,0.070453
485,552860.0,2.0613,0.07062
486,552980.0,2.0212,0.069259
487,553100.0,1.8441,0.068877
488,553210.0,1.9449,0.069337
489,553330.0,1.9613,0.068835
490,553450.0,1.6864,0.068219
491,553570.0,1.9609,0.066491
492,553680.0,1.8129,0.067633
493,553800.0,1.9121,0.067225
494,553920.0,1.682,0.067968
495,554040.0,1.932,0.06849
496,554150.0,1.866,0.068727
497,554270.0,1.8861,0.067398
498,554390.0,1.7171,0.067089
499,554510.0,1.6117,0.066908
500,554630.0,1.6327,0.068445
501,554740.0,1.6243,0.068625
502,554860.0,1.8595,0.068572
503,554980.0,1.8304,0.06621
504,555100.0,1.56,0.065684
505,555220.0,1.554,0.064576
506,555330.0,1.649,0.0658
507,555450.0,1.3771,0.065691
508,555570.0,1.7404,0.066988
509,555690.0,1.2814,0.067132
510,555810.0,1.5852,0.06829
511,555920.0,1.5576,0.068346
512,556040.0,1.5052,0.067563
513,556160.0,1.5919,0.067082
514,556280.0,1.5816,0.068019
515,556400.0,1.5461,0.068523
516,556520.0,1.8581,0.068139
517,556640.0,1.843,0.067388
518,556750.0,1.6837,0.06676
519,556870.0,1.396,0.065943
520,556990.0,1.2795,0.065709
521,557110.0,1.4438,0.065817
522,557230.0,1.3691,0.066168
523,557350.0,1.3664,0.06495
524,557470.0,1.3779,0.065892
525,557590.0,1.5234,0.066088
526,557700.0,1.5623,0.065968
527,557820.0,1.5706,0.065482
528,557940.0,1.9043,0.066939
529,558060.0,2.3114,0.068454
530,558180.0,3.0015,0.069759
531,558300.0,3.9712,0.071198
532,558420.0,5.9578,0.077038
533,558540.0,9.0518,0.087715
534,558660.0,11.387,0.0956
535,558780.0,9.4817,0.087521
536,558900.0,6.943,0.08055
537,559010.0,4.9754,0.075966
538,559130.0,4.036,0.073684
539,559250.0,3.4387,0.070914
540,559370.0,2.8108,0.069833
541,559490.0,2.5127,0.068163
542,559610.0,2.2083,0.06771
543,559730.0,1.8017,0.06677
544,559850.0,1.7332,0.066318
545,559970.0,1.4799,0.064854
546,560090.0,1.3867,0.064529
547,560210.0,1.2607,0.065562
548,560330.0,1.3695,0.065592
549,560450.0,1.5229,0.066037
550,560570.0,1.8006,0.066588
551,560690.0,2.4369,0.067747
552,560810.0,3.4798,0.069641
553,560930.0,5.1408,0.073541
554,561050.0,7.3864,0.080209
555,561170.0,10.144,0.088357
556,561290.0,11.914,0.096304
557,561410.0,11.049,0.093714
558,561530.0,9.8161,0.088175
559,561650.0,8.5039,0.082409
560,561770.0,7.4805,0.0791
561,561890.0,6.5784,0.076141
562,562010.0,6.1657,0.076502
563,562130.0,5.673,0.075912
564,562250.0,5.4516,0.075953
565,562370.0,5.1625,0.075444
566,562490.0,4.9233,0.076145
567,562610.0,4.7725,0.074614
568,562730.0,4.495,0.074508
569,562850.0,4.4249,0.072651
570,562970.0,4.2477,0.071585
571,563090.0,4.146,0.070153
572,563220.0,3.8477,0.070222
573,563340.0,3.7857,0.070112
574,563460.0,3.6497,0.071527
575,563580.0,3.7536,0.07194
576,563700.0,3.6183,0.072493
577,563820.0,3.6183,0.071596
578,563940.0,3.5225,0.070573
579,564060.0,3.4242,0.070597
580,564180.0,3.4789,0.06985
581,564300.0,3.264,0.06878
582,564420.0,3.3329,0.069141
583,564550.0,3.3557,0.069623
584,564670.0,3.1316,0.069612
585,564790.0,3.1157,0.070063
586,564910.0,3.2771,0.069569
587,565030.0,3.4687,0.068508
588,565150.0,3.9679,0.071523
589,565270.0,5.1043,0.073601
590,565390.0,4.9865,0.074185
591,565520.0,3.9977,0.070734
592,565640.0,3.1267,0.069245
593,565760.0,3.031,0.069142
594,565880.0,2.8949,0.069691
595,566000.0,2.8004,0.069768
596,566120.0,2.9426,0.070609
597,566240.0,2.8329,0.070325
598,566370.0,2.9371,0.070187
599,566490.0,2.8948,0.069001
600,566610.0,2.7997,0.068862
601,566730.0,2.6685,0.067847
602,566850.0,2.7648,0.068773
603,566980.0,2.6696,0.067301
604,567100.0,2.7942,0.067472
605,567220.0,3.1692,0.066699
606,567340.0,3.2331,0.067317
607,567460.0,2.7563,0.067573
608,567590.0,2.6909,0.06886
609,567710.0,2.4949,0.068015
610,567830.0,2.4418,0.067348
611,567950.0,2.4936,0.067734
612,568070.0,2.5447,0.067248
613,568200.0,2.3407,0.067065
614,568320.0,2.385,0.068033
615,568440.0,2.5651,0.068558
616,568560.0,2.4692,0.067763
617,568690.0,2.584,0.067499
618,568810.0,2.5147,0.068299
619,568930.0,3.1732,0.068401
620,569050.0,4.025,0.071503
621,569180.0,5.5187,0.073796
622,569300.0,6.0776,0.0747
623,569420.0,4.3508,0.071235
624,569540.0,3.1054,0.070094
625,569670.0,2.481,0.069238
626,569790.0,2.5472,0.069576
627,569910.0,2.3713,0.067978
628,570040.0,2.4564,0.067284
629,570160.0,2.3505,0.066701
630,570280.0,2.3887,0.067233
631,570400.0,2.3911,0.066574
632,570530.0,2.4331,0.066832
633,570650.0,2.2197,0.066669
634,570770.0,2.4473,0.068605
635,570900.0,2.1204,0.067675
636,571020.0,2.3622,0.067974
637,571140.0,2.2058,0.066445
638,571270.0,2.3319,0.065585
639,571390.0,2.145,0.065646
640,571510.0,2.1027,0.066575
641,571640.0,2.1617,0.066296
642,571760.0,2.2197,0.066395
643,571880.0,1.9969,0.066494
644,572010.0,2.1492,0.065724
645,572130.0,1.9399,0.065983
646,572250.0,2.0232,0.066362
647,572380.0,2.0885,0.066326
648,572500.0,1.9973,0.066332
649,572620.0,2.2593,0.066521
650,572750.0,2.1799,0.066385
651,572870.0,2.1085,0.065431
652,573000.0,2.1556,0.066888
653,573120.0,2.0709,0.067523
654,573240.0,2.1309,0.067589
655,573370.0,2.2112,0.066991
656,573490.0,2.1192,0.066547
657,573620.0,2.08,0.06627
658,573740.0,1.9304,0.067395
659,573860.0,1.9937,0.066724
660,573990.0,2.1345,0.066607
661,574110.0,2.0307,0.065033
662,574240.0,1.8073,0.064847
663,574360.0,1.9399,0.064535
664,574480.0,1.8433,0.064969
665,574610.0,1.7784,0.064556
666,574730.0,1.6995,0.065722
667,574860.0,1.8017,0.065076
668,574980.0,2.0284,0.066503
669,575110.0,3.1207,0.068274
670,575230.0,3.4689,0.069223
671,575360.0,3.2661,0.068348
672,575480.0,3.0277,0.068562
673,575610.0,2.9978,0.068001
674,575730.0,3.3224,0.067924
675,575860.0,3.3129,0.068402
676,575980.0,3.4535,0.068274
677,576100.0,3.8286,0.068996
678,576230.0,4.1115,0.069693
679,576350.0,4.5184,0.071076
680,576480.0,5.4266,0.073184
681,576600.0,5.9866,0.075113
682,576730.0,7.0615,0.077592
683,576850.0,8.0581,0.078759
684,576980.0,9.2278,0.083666
685,577100.0,9.9956,0.085414
686,577230.0,10.883,0.087993
687,577360.0,11.363,0.090065
688,577480.0,11.055,0.090261
689,577610.0,10.427,0.087445
690,577730.0,9.8344,0.086406
691,577860.0,9.2025,0.083243
692,577980.0,7.8091,0.080935
693,578110.0,6.8482,0.078475
694,578230.0,6.4457,0.077622
695,578360.0,5.7035,0.075525
696,578480.0,5.4072,0.074801
697,578610.0,4.9094,0.072312
698,578740.0,4.7534,0.071826
699,578860.0,4.6962,0.070279
700,578990.0,4.1861,0.069691
701,579110.0,4.2799,0.069712
702,579240.0,4.3592,0.070209
703,579360.0,4.8896,0.071133
704,579490.0,5.8667,0.074758
705,579620.0,8.1126,0.081074
706,579740.0,9.2804,0.083588
707,579870.0,7.6335,0.078942
708,579990.0,5.0402,0.073016
709,580120.0,4.0186,0.070603
710,580250.0,3.5851,0.069273
711,580370.0,3.1699,0.067977
712,580500.0,3.1239,0.067235
713,580630.0,2.9247,0.067038
714,580750.0,2.9043,0.067782
715,580880.0,3.1135,0.067317
716,581010.0,3.1376,0.068608
717,581130.0,2.7973,0.067011
718,581260.0,2.7173,0.065799
719,581380.0,2.6603,0.065929
720,581510.0,2.7745,0.067218
721,581640.0,2.6603,0.067996
722,581760.0,2.5721,0.067616
723,581890.0,2.4263,0.065642
724,582020.0,2.3589,0.065627
725,582140.0,2.2776,0.065065
726,582270.0,2.3476,0.066162
727,582400.0,2.3148,0.066071
728,582530.0,2.3661,0.066803
729,582650.0,2.307,0.065771
730,582780.0,2.2169,0.06622
731,582910.0,2.2042,0.065231
732,583030.0,2.1796,0.06598
733,583160.0,2.166,0.065061
734,583290.0,2.156,0.065215
735,583410.0,2.1812,0.065388
736,583540.0,2.181,0.06604
737,583670.0,2.273,0.064493
738,583800.0,2.1201,0.064331
739,583920.0,2.121,0.065633
740,584050.0,2.1592,0.065859
741,584180.0,2.0967,0.065431
742,584310.0,2.155,0.065269
743,584430.0,2.2117,0.064725
744,584560.0,2.1293,0.063931
745,584690.0,2.0948,0.063851
746,584820.0,1.9026,0.064756
747,584950.0,1.7333,0.064367
748,585070.0,1.8285,0.065892
749,585200.0,1.9588,0.065755
750,585330.0,2.1342,0.065606
751,585460.0,1.925,0.065205
752,585580.0,1.9431,0.064504
753,585710.0,2.0422,0.063098
754,585840.0,2.0183,0.063932
755,585970.0,2.0831,0.064788
756,586100.0,1.963,0.065828
757,586220.0,2.075,0.065784
758,586350.0,1.9039,0.065531
759,586480.0,1.8787,0.063726
760,586610.0,2.0359,0.06477
761,586740.0,1.975,0.06487
762,586870.0,1.7273,0.066702
763,586990.0,1.9168,0.066134
764,587120.0,1.9073,0.066273
765,587250.0,1.8474,0.065052
766,587380.0,1.8355,0.064821
767,587510.0,1.7914,0.064692
768,587640.0,1.8719,0.065599
769,587770.0,1.7009,0.065654
770,587890.0,1.8347,0.065094
771,588020.0,1.6955,0.065237
772,588150.0,1.8087,0.064335
773,588280.0,1.767,0.063089
774,588410.0,1.6695,0.06203
775,588540.0,1.7216,0.061662
776,588670.0,1.7096,0.062013
777,588800.0,1.6964,0.062981
778,588920.0,1.6805,0.063528
779,589050.0,1.6368,0.062649
780,589180.0,1.6476,0.063584
781,589310.0,1.6911,0.063051
782,589440.0,1.7794,0.063926
783,589570.0,1.8015,0.063572
784,589700.0,1.4534,0.063387
785,589830.0,1.8696,0.06361
786,589960.0,2.1154,0.065044
787,590090.0,3.1163,0.066535
788,590220.0,4.533,0.069635
789,590350.0,4.3639,0.068343
790,590480.0,2.8202,0.064974
791,590610.0,2.0341,0.06269
792,590740.0,1.7765,0.063718
793,590870.0,1.7172,0.063747
794,591000.0,1.6652,0.065225
795,591130.0,1.8071,0.064539
796,591250.0,1.966,0.064815
797,591380.0,1.8778,0.063509
798,591510.0,1.4975,0.062807
799,591640.0,1.7131,0.063047
800,591770.0,1.6824,0.063729
801,591900.0,1.6296,0.063293
802,592030.0,1.5677,0.063097
803,592160.0,1.6427,0.063568
804,592290.0,1.3866,0.063242
805,592420.0,1.456,0.06364
806,592560.0,1.6355,0.063423
807,592690.0,1.6002,0.062968
808,592820.0,1.6035,0.063078
809,592950.0,1.4968,0.063202
810,593080.0,1.4247,0.063651
811,593210.0,1.5684,0.063155
812,593340.0,1.3154,0.064723
813,593470.0,1.4979,0.064161
814,593600.0,1.3789,0.063727
815,593730.0,1.4389,0.063129
816,593860.0,1.4141,0.063241
817,593990.0,1.4355,0.062563
818,594120.0,1.5212,0.062438
819,594250.0,1.3023,0.061312
820,594380.0,1.4866,0.061212
821,594510.0,1.4421,0.06088
822,594640.0,1.6364,0.061801
823,594780.0,2.392,0.063808
824,594910.0,3.3976,0.066683
825,595040.0,3.6168,0.068397
826,595170.0,3.1041,0.068015
