,EN,DATA,ERR-S
0,500050.0,2.6051,0.074906
1,500150.0,3.3136,0.075217
2,500250.0,3.756,0.076905
3,500350.0,4.2102,0.079087
4,500450.0,4.6179,0.078879
5,500550.0,5.0229,0.078571
6,500650.0,5.0861,0.079565
7,500760.0,5.4916,0.081449
8,500860.0,5.49,0.082006
9,500960.0,5.5705,0.082381
10,501060.0,5.7195,0.082544
11,501160.0,5.6789,0.080415
12,501260.0,5.4231,0.080967
13,501360.0,5.5064,0.081374
14,501460.0,5.2427,0.083843
15,501570.0,5.2508,0.085123
16,501670.0,5.0178,0.084709
17,501770.0,5.1261,0.083336
18,501870.0,5.0416,0.082195
19,501970.0,4.8682,0.079951
20,502070.0,5.0962,0.080459
21,502170.0,4.8725,0.079726
22,502280.0,4.9359,0.080409
23,502380.0,4.6335,0.079022
24,502480.0,4.8504,0.08044
25,502580.0,4.7052,0.079451
26,502680.0,4.8219,0.080345
27,502790.0,4.975,0.078757
28,502890.0,4.9221,0.078845
29,502990.0,5.7383,0.081715
30,503090.0,7.686,0.089568
31,503190.0,9.9678,0.098577
32,503290.0,11.968,0.1057
33,503400.0,9.4418,0.095093
34,503500.0,6.898,0.085611
35,503600.0,5.3012,0.081217
36,503700.0,4.605,0.078829
37,503800.0,4.4962,0.078774
38,503910.0,4.1391,0.077731
39,504010.0,4.1092,0.078095
40,504110.0,4.0673,0.07793
41,504210.0,4.2073,0.07864
42,504320.0,3.8457,0.078043
43,504420.0,3.8652,0.077257
44,504520.0,3.8257,0.080005
45,504620.0,3.7019,0.079344
46,504720.0,3.769,0.079315
47,504830.0,3.7374,0.078915
48,504930.0,3.6652,0.079366
49,505030.0,3.5254,0.07851
50,505130.0,3.578,0.078615
51,505240.0,3.5341,0.078703
52,505340.0,3.8098,0.079742
53,505440.0,3.6798,0.079043
54,505540.0,3.7284,0.079171
55,505650.0,3.6722,0.077914
56,505750.0,3.4478,0.077348
57,505850.0,3.483,0.076959
58,505960.0,3.63,0.078805
59,506060.0,3.6393,0.077999
60,506160.0,3.4484,0.076853
61,506260.0,3.4049,0.075454
62,506370.0,3.6315,0.076763
63,506470.0,3.2986,0.077061
64,506570.0,3.2582,0.077391
65,506680.0,3.6524,0.07597
66,506780.0,3.1778,0.075042
67,506880.0,3.4479,0.076429
68,506980.0,3.3551,0.075713
69,507090.0,3.3797,0.074724
70,507190.0,3.2955,0.075181
71,507290.0,3.3154,0.076039
72,507400.0,2.9811,0.075702
73,507500.0,3.2868,0.075763
74,507600.0,3.3293,0.076021
75,507710.0,3.3877,0.074852
76,507810.0,3.2047,0.075701
77,507910.0,3.3699,0.074648
78,508020.0,3.4944,0.07681
79,508120.0,3.7735,0.078433
80,508220.0,3.6626,0.079023
81,508330.0,3.499,0.077133
82,508430.0,3.4841,0.075822
83,508530.0,3.2972,0.074376
84,508640.0,3.2027,0.074936
85,508740.0,2.9998,0.074449
86,508850.0,3.0183,0.075721
87,508950.0,3.3156,0.074675
88,509050.0,3.0561,0.075549
89,509160.0,2.9921,0.0752
90,509260.0,3.2862,0.076861
91,509360.0,2.9689,0.074825
92,509470.0,3.0319,0.075781
93,509570.0,2.9181,0.076126
94,509680.0,3.104,0.075129
95,509780.0,3.0801,0.073097
96,509880.0,2.9565,0.072859
97,509990.0,3.1557,0.073674
98,510090.0,3.3091,0.075484
99,510190.0,3.0358,0.075703
100,510300.0,3.2403,0.075689
101,510400.0,3.1598,0.075284
102,510510.0,3.2502,0.075749
103,510610.0,3.1821,0.075642
104,510720.0,3.6153,0.075623
105,510820.0,3.7643,0.075681
106,510920.0,3.7929,0.076978
107,511030.0,4.4624,0.077053
108,511130.0,5.0927,0.080432
109,511240.0,6.2427,0.084043
110,511340.0,8.0992,0.090899
111,511450.0,10.282,0.09722
112,511550.0,12.056,0.10299
113,511650.0,11.441,0.1009
114,511760.0,9.956,0.095901
115,511860.0,8.5317,0.088605
116,511970.0,7.0928,0.084389
117,512070.0,6.1204,0.082136
118,512180.0,5.4146,0.082025
119,512280.0,4.8611,0.080619
120,512390.0,4.5646,0.079905
121,512490.0,4.3772,0.076827
122,512600.0,4.4476,0.076335
123,512700.0,4.3565,0.075128
124,512810.0,4.7751,0.078359
125,512910.0,6.0413,0.082585
126,513020.0,7.5699,0.088233
127,513120.0,9.0536,0.092398
128,513230.0,9.6545,0.094124
129,513330.0,8.2599,0.088727
130,513440.0,6.0725,0.082115
131,513540.0,4.6831,0.07923
132,513650.0,4.1993,0.079038
133,513750.0,4.0035,0.079179
134,513860.0,3.857,0.079555
135,513960.0,3.6748,0.079513
136,514070.0,3.7657,0.079009
137,514170.0,3.4569,0.078589
138,514280.0,3.7007,0.077816
139,514380.0,3.9306,0.076695
140,514490.0,4.2595,0.079076
141,514590.0,4.4588,0.079284
142,514700.0,4.2461,0.07749
143,514800.0,3.6037,0.075187
144,514910.0,3.077,0.075204
145,515020.0,3.1767,0.074705
146,515120.0,3.311,0.074361
147,515230.0,3.0696,0.072589
148,515330.0,3.1107,0.073381
149,515440.0,3.2834,0.075058
150,515540.0,2.9736,0.075483
151,515650.0,3.1261,0.074424
152,515750.0,3.0906,0.074958
153,515860.0,3.0387,0.075419
154,515970.0,3.1192,0.076958
155,516070.0,3.2052,0.076026
156,516180.0,3.0873,0.076525
157,516280.0,3.0313,0.075721
158,516390.0,3.148,0.075602
159,516500.0,2.9557,0.074086
160,516600.0,2.8844,0.074646
161,516710.0,2.7368,0.075159
162,516810.0,3.2121,0.075856
163,516920.0,3.2535,0.076081
164,517030.0,3.1234,0.074328
165,517130.0,2.8983,0.074439
